id,comment_text,label
0,Bro visit web judi ‘JUDAY88’ menang terus sumpah bray tanpa ribet coeg! 🤣🤣,1
1,Kalo mau menang slot coba ke 'slotcepet.xyz' gacor parah coeg langsung gaskeun! 😂,1
2,"Wuih editingnya halus banget, respect! bray",0
3,gampang menang di cuanmaniazz.site gaskeun cmn buruan daftar!!!,1
4,thanks bang udah bikin konten sekeren ini fix 😭!!,0
5,slotbarbar.fun lagi bagi bonus gila parah gasken modal receh bisa WD!! 😭!!,1
6,spinbosszz.live gacor terus asli fix modal receh bisa WD!! 😂!,1
7,spinbosszz.live gacor terus asli cuan gacor bgt sumpah! 🔥,1
8,Sumpah relatable banget wkwk cuan,0
9,anjir ini lucu banget fix ngakak parah sih,0
10,anjay gw kira cringe tapi ternyata keren bro,0
11,Bro visit weeb judi ‘JUDAY88’ meenaang teerus sumpaah cuaan gaacor bgt sumpaah! 🔥,1
12,Admin bagi link nih: hokiroom777.click JP tiap malam seriusan no tipu2 bray!,1
13,Cek situs: wajibgacor.site jackpot tiap spin parah sih tanpa ribet coeg! 😎,1
14,jeebolaanmaaxwin.idn haadiaah tiaap haari reeaal coeeg laangsung gaaskeeun!,1
15,thanks bang udah bikin konten sekeren ini anjay!,0
16,Haha ngakak parah liat bagian ini auto,0
17,spinbosszz.live gacor terus asli anjay no tipu2 bray!,1
18,anjir ini lucu banget fix ngakak fix 😭!,0
19,Cuma di SP1NMAX bisa menang 20jt sehari gaskeun gacor bgt sumpah! 😂,1
20,Admin bagi link nih: hokiroom777.click JP tiap malam cuan real no hoax!!!!,1
21,Cek situs: wajibgacor.site jackpot tiap spin anjay buruan daftar!,1
22,"Gilaa sih videeonyaa, keereen baangeet sumpaah! cuaan",0
23,Haha ngakak parah liat bagian ini anjir!!!,0
24,Cuma di SP1NMAX bisa menang 20jt sehari gaskeun gacor bgt sumpah!,1
25,slotbarbar.fun lagi bagi bonus gila parah cuan no tipu2 bray!,1
26,Tolong bikin part 2 bang! gasken 🤣🤣!,0
27,"Wuih editingnya halus banget, respect! anjay 😎!",0
