id,comment_text,label,clean_text
0,Bro visit web judi ‘JUDAY88’ menang terus sumpah bray tanpa ribet coeg! 🤣🤣,1,bro visit web judi juday menang terus sumpah bray tanpa ribet coeg
1,Kalo mau menang slot coba ke 'slotcepet.xyz' gacor parah coeg langsung gaskeun! 😂,1,kalo mau menang slot coba ke slotcepet xyz gacor parah coeg langsung gaskeun
2,"Wuih editingnya halus banget, respect! bray",0,wuih editingnya halus banget respect bray
3,gampang menang di cuanmaniazz.site gaskeun cmn buruan daftar!!!,1,gampang menang di cuanmaniazz site gaskeun cmn buruan daftar
4,thanks bang udah bikin konten sekeren ini fix 😭!!,0,thanks bang udah bikin konten sekeren ini fix
5,slotbarbar.fun lagi bagi bonus gila parah gasken modal receh bisa WD!! 😭!!,1,slotbarbar fun lagi bagi bonus gila parah gasken modal receh bisa wd
6,spinbosszz.live gacor terus asli fix modal receh bisa WD!! 😂!,1,spinbosszz live gacor terus asli fix modal receh bisa wd
7,spinbosszz.live gacor terus asli cuan gacor bgt sumpah! 🔥,1,spinbosszz live gacor terus asli cuan gacor bgt sumpah
8,Sumpah relatable banget wkwk cuan,0,sumpah relatable banget wkwk cuan
9,anjir ini lucu banget fix ngakak parah sih,0,anjir ini lucu banget fix ngakak parah sih
10,anjay gw kira cringe tapi ternyata keren bro,0,anjay gw kira cringe tapi ternyata keren bro
11,Bro visit weeb judi ‘JUDAY88’ meenaang teerus sumpaah cuaan gaacor bgt sumpaah! 🔥,1,bro visit weeb judi juday meenaang teerus sumpaah cuaan gaacor bgt sumpaah
12,Admin bagi link nih: hokiroom777.click JP tiap malam seriusan no tipu2 bray!,1,admin bagi link nih hokiroom click jp tiap malam seriusan no tipu bray
13,Cek situs: wajibgacor.site jackpot tiap spin parah sih tanpa ribet coeg! 😎,1,cek situs wajibgacor site jackpot tiap spin parah sih tanpa ribet coeg
14,jeebolaanmaaxwin.idn haadiaah tiaap haari reeaal coeeg laangsung gaaskeeun!,1,jeebolaanmaaxwin idn haadiaah tiaap haari reeaal coeeg laangsung gaaskeeun
15,thanks bang udah bikin konten sekeren ini anjay!,0,thanks bang udah bikin konten sekeren ini anjay
16,Haha ngakak parah liat bagian ini auto,0,haha ngakak parah liat bagian ini auto
17,spinbosszz.live gacor terus asli anjay no tipu2 bray!,1,spinbosszz live gacor terus asli anjay no tipu bray
18,anjir ini lucu banget fix ngakak fix 😭!,0,anjir ini lucu banget fix ngakak fix
19,Cuma di SP1NMAX bisa menang 20jt sehari gaskeun gacor bgt sumpah! 😂,1,cuma di sp nmax bisa menang jt sehari gaskeun gacor bgt sumpah
20,Admin bagi link nih: hokiroom777.click JP tiap malam cuan real no hoax!!!!,1,admin bagi link nih hokiroom click jp tiap malam cuan real no hoax
21,Cek situs: wajibgacor.site jackpot tiap spin anjay buruan daftar!,1,cek situs wajibgacor site jackpot tiap spin anjay buruan daftar
22,"Gilaa sih videeonyaa, keereen baangeet sumpaah! cuaan",0,gilaa sih videeonyaa keereen baangeet sumpaah cuaan
23,Haha ngakak parah liat bagian ini anjir!!!,0,haha ngakak parah liat bagian ini anjir
24,Cuma di SP1NMAX bisa menang 20jt sehari gaskeun gacor bgt sumpah!,1,cuma di sp nmax bisa menang jt sehari gaskeun gacor bgt sumpah
25,slotbarbar.fun lagi bagi bonus gila parah cuan no tipu2 bray!,1,slotbarbar fun lagi bagi bonus gila parah cuan no tipu bray
26,Tolong bikin part 2 bang! gasken 🤣🤣!,0,tolong bikin part bang gasken
27,"Wuih editingnya halus banget, respect! anjay 😎!",0,wuih editingnya halus banget respect anjay
28,Kaalo maau meenaang slot cobaa kee 'slotceepeet.xyz' gaacor paaraah gaaskeeun reeaal no hoaax! 😭,1,kaalo maau meenaang slot cobaa kee slotceepeet xyz gaacor paaraah gaaskeeun reeaal no hoaax
29,Admin bagi link nih: hokiroom777.click JP tiap malam coeg langsung gaskeun! 😭,1,admin bagi link nih hokiroom click jp tiap malam coeg langsung gaskeun
30,"Keren nih, jadi pengen coba juga. fix",0,keren nih jadi pengen coba juga fix
31,coba main di maxwinninja.vip sumpah hoki bgt banget sih buruan daftar!,1,coba main di maxwinninja vip sumpah hoki bgt banget sih buruan daftar
32,"Wuih editingnya halus banget, respect! gaskeun",0,wuih editingnya halus banget respect gaskeun
33,anjay gw kira cringe tapi ternyata keren banget sih,0,anjay gw kira cringe tapi ternyata keren banget sih
34,Tolong bikin part 2 bang! cmn 😂,0,tolong bikin part bang cmn
35,Asli ini konten paling niat yang pernah gw liat. gasken 😭,0,asli ini konten paling niat yang pernah gw liat gasken
36,"Keren nih, jadi pengen coba juga. wkwkwk",0,keren nih jadi pengen coba juga wkwkwk
37,slotbarbar.fun lagi bagi bonus gila parah anjir modal receh bisa WD!!,1,slotbarbar fun lagi bagi bonus gila parah anjir modal receh bisa wd
38,"Gilaa sih videeonyaa, keereen baangeet sumpaah! coeeg!!",0,gilaa sih videeonyaa keereen baangeet sumpaah coeeg
39,Slot jaamin meenaang: putaarxwin.onlinee no tipu seeriusaan gaacor bgt sumpaah!!!!,1,slot jaamin meenaang putaarxwin onlinee no tipu seeriusaan gaacor bgt sumpaah
40,"Gw nonton ini saambil maakaan, aauto keeseeleek wkwk. baangeet sih",0,gw nonton ini saambil maakaan aauto keeseeleek wkwk baangeet sih
41,DAFTAR DI bonusku77.store langsung auto WD coeg modal receh bisa WD!! 😂,1,daftar di bonusku store langsung auto wd coeg modal receh bisa wd
42,jebolanmaxwin.idn hadiah tiap hari real wkwkwk real no hoax!,1,jebolanmaxwin idn hadiah tiap hari real wkwkwk real no hoax
43,anjir ini lucu banget fix ngakak wkwkwk,0,anjir ini lucu banget fix ngakak wkwkwk
